name,country
Carrefour,France
Hermes International,France
Alstom,France
Safran,France
Thales,France
BNP Paribas,France
Renault,France
Schneider Electric,France
Recordati,Italy
Mediobanca,Italy
Eni,Italy
Banco BPM,Italy
DiaSorin,Italy
FinecoBank,Italy
Piaggio,Italy
Webuild,Italy
Unilever,Netherlands
Ferrari,Netherlands
ASM International,Netherlands
STMicroelectronics,Netherlands
Heineken,Netherlands
Stellantis,Netherlands
Adyen,Netherlands
RELX,Netherlands
Assa Abloy,Sweden
SKF,Sweden
Sandvik,Sweden
Svenska Handelsbanken,Sweden
Peab,Sweden
Dometic Group,Sweden
JM AB,Sweden
Arjo,Sweden
Anheuser-Busch InBev,Belgium
KBC Group,Belgium
Umicore,Belgium
Solvay,Belgium
Syensqo,Belgium
D'Ieteren Group,Belgium
Melexis,Belgium
Cofinimmo,Belgium
